ID,Journal Name,E-ISSN,P-ISSN,Article Count
64c730af3fa44e5eb2d1a48b0ac35717,Acta Scientiarum Polonorum Agricultura ,,1644-0625,6
64d429eabf5d43b68871c440d6caf5f9,Journal of Education and Training Studies,2324-8068,2324-805X,5
64e79f3876ae4737bbdcc35887f8e9a9,Lecturas de Economía,XXXX-XXXX,XXXX-XXXX,7
64fe813ba65f442ea0d2c62c29e0eb5b,American Journal of Plant Physiology,1557-4547,1557-4539,4
652e9d15125140d4943254f3ccabc25b,Atmósfera,,0187-6236,6
655d1638004648bb9d92a5e914850bdd,Journal of Polymers,2314-6877,2356-7570,2
659cdec7a2de4014b5cfaed793a15046,Fronteras de la Historia,,XXXX-XXXX,7
659d1b079cc14aed883f93c1a2cd66d6,Journal of Immunotoxicology,XXXX-XXXX,XXXX-XXXX,7
663b7fa469704fd7b5ffcfd27a7c4104,Journal of Educational and Developmental Psychology,1927-0534,1927-0526,3
66d2986b3c994124a93565049ae9f755,Revista Cubana de Medicina General Integral,1561-3038,0864-2125,41
671560eb5b224fcbae0ee62840f8061e,Open Journal of Psychiatry ,2161-7333,2161-7325,3
6727758966cf437688061197d8cbbb60,Revista de la Asociación Española de Neuropsiquiatría,2340-2733,0211-5735,38
67303f332d35493e9a7a23803c33da8d,Carnets de Géologie,1634-0744,1765-2553,4
687062d05ed74e2985ecd3d9a4de11f8,Internet Electronic Journal of Molecular Design,,1538-6414,3
6875519552874da3b8d41317d70591a3,Anales de la Facultad de Medicina,,1025-5583,18
6881e3d1d4ae4a0caa8990a8934627a4,Pharmacology & Pharmacy,2157-9431,2157-9423,4
68b56eb2a1ee4d7c89f918831d1921d7,Holos Environment,,1519-8634,4
69aad12687954287bc85670416d6eba2,Drug Invention Today,,0975-7619,6
69c03a51f4ce4d5db0a50df2f9c28e89,Neuropsychiatria i Neuropsychologia ,2084-9885,1896-6764,1
6a292b26980d4808a46b3317dea84886,Nigerian Medical Journal,2229-774X,0300-1652,6
6a2a893d6f0d4610821ccaeef4379638,Investigación y Educación en Enfermería,,0120-5307,11
6aad0a2a9a8e43ff9b4d52e3ca2a9fe3,"Journal of Knowledge Management, Economics and Information Technology",,2069-5934,7
6bd0f345016047a58d0c42abc455a5f6,Silpakorn University Science and Technology Journal,,1905-9159,1
6c64febe3afd4113b783b7696c1bd771,Cuadernos de Administración,1900-7205,0120-3592,4
6c77feb0aba94601ad954e27b4f2a0ec,PVRI Review,0975-1602,0974-6013,1
6cd5db34e4e1498e86759b545c86ef25,Open Journal of Philosophy,2163-9442,2163-9434,2
6d0146cd82604238bc63612e0fb851a7,Advances in Theoretical and Applied Mechanics ,1314-7625,1313-6550,4
6d6f147a63b44a849dd595f2620353e3,Endocrinology Studies,2038-9523,2038-9515,2
6da91beff3664c14b6246a2cd1987ff5,Skepsi,,1758-2679,2
6e677006a15b4adcbfda47d89ffb8698,International Journal of Emotional Education,,2073-7629,2
6e727fd6b466452eb8efa28b759760ea,Notulae Botanicae Horti Agrobotanici Cluj-Napoca,1842-4309,0255-965X,23
6eca6666109f45a4b5a1fce59951aabd,Evropejskij Medicinskij Žurnal,2310-3434,2308-6513,1
6f6f289bc0694a4e9b8a78631604d000,HEALTH EXPECTATIONS,XXXX-XXXX,XXXX-XXXX,7
6f95a3c136314b90ad92c3ffae9de2c1,Nómadas,1578-6730,1889-7231,33
7013ac259a0646d58ff70561962addc8,Revista Latinoamericana de Psicologí­a,,0120-0534,48
7027a23e460d469b8de6df8a8e88f4f4,Pratiques et Organisation des Soins,,1952-9201,3
70c57cc87b784733abe9f4b048fc6984,RETEL : Revista de Toxicología en Línea,,1668-091X,2
711ae666356f476b99b416734d7a4f67,Open Journal of Stomatology,2160-8717,2160-8709,5
71654cf78c3840ff8ec78ccc6ea6e821,Cuadernos de Documentación Multimedia,,0000-0000,5
7173fceab6f9490d9679f8384d31daf2,IUCN Otter Specialist Group Bulletin,,1023-9030,8
71b597cba98e4e69bd61b179a3cdf76f,Issues in Information Systems,,1529-7314,24
725b29e5c8294c72acc4b2d06a77a299,Revista Universidad Eafit,,0120-341X,6
72caf0d812dd46369a29a86c22dd5130,Indian Journal of Community Health,2248-9509,0971-7587,14
7303fd9abd594522914547a12b8d9269,Scientific Herald of the Voronezh State University of Architecture and Civil Engineering,,2075-0811,2
73616dd80dbb4ac2b9894d965802c375,Folia Neuropathologica,1509-572X,1641-4640,5
73ba90a755c24aa68807d1c670530ec9,Educação & Realidade,2175-6236,0100-3143,2
74198e75e876405880fa8ab6a838e3b7,Actualidades Biológicas,,0304-3584,1
741ebeea27764e3aa81e48a395dafd48,Temps d'Educació,2014-7627,0214-7351,13
750f1607fd584baf84583eb20f03d7a7,Current Research Journal of Economic Theory,2042-485X,2042-4841,3
753bde5b2096472c93cdf8d5bec82918,Leksema,2527-807X,2527-8088,2
756c9d30b7504bbaaca8896d1b545932,Gaceta Laboral,,1315-8597,4
7602ee75aa3c4f9f9bdd323b6c31269f,Revista Mexicana de Investigación Educativa,,0000-0000,5
763bc632b2ad44eab648cb9a8098e0a8,Journal of Solar Energy ,2314-6230,2356-7635,1
7642d0168c094d95baa5aecefe97b270,Advances in Interventional Cardiology,1897-4295,1734-9338,4
765cb7a12b07484ab55cc3a037c43421,Acta Societatis Martensis,1736-3926,1736-3918,2
769792d1592f47daa81d3402cf9b1b26,Prevention and Research : International Open Access Journal of Prevention and Research in Medicine,,2240-2594,3
76f9e6bc9d1d446e8537e33aa6eedebd,Egyptian Journal of Medical Human Genetics,,1110-8630,11
77194f025c3a4b3b9bf36ed714eb8dee,E-Journal of Portuguese History,,1645-6432,2
77875aa3d2fb4d22a576c62ecf252573,Metal-Based Drugs,1687-5486,0793-0291,7
